Generated by myTrafficdata,,,
SDR: 1145FSarbia,,8 maj 26 13:03:42,
Data i czas,Kierunek,Długość,Szybkość
7 maj 26 16:55:20,2,4.3 m,34 km/h
7 maj 26 16:57:52,2,5.0 m,61 km/h
7 maj 26 17:01:19,2,3.6 m,55 km/h
7 maj 26 17:03:01,1,4.6 m,70 km/h
7 maj 26 17:05:59,2,5.2 m,62 km/h
7 maj 26 17:06:15,2,4.2 m,52 km/h
7 maj 26 17:07:46,2,4.3 m,61 km/h
7 maj 26 17:09:59,2,4.4 m,59 km/h
7 maj 26 17:10:16,2,3.0 m,62 km/h
7 maj 26 17:10:44,1,5.9 m,46 km/h
7 maj 26 17:14:12,1,5.7 m,74 km/h
7 maj 26 17:14:54,1,4.7 m,52 km/h
7 maj 26 17:15:11,2,5.7 m,68 km/h
7 maj 26 17:15:43,2,4.5 m,27 km/h
7 maj 26 17:16:25,2,4.5 m,53 km/h
7 maj 26 17:16:28,2,6.5 m,56 km/h
7 maj 26 17:16:37,1,4.1 m,65 km/h
7 maj 26 17:17:48,1,4.4 m,50 km/h
7 maj 26 17:17:56,2,5.0 m,54 km/h
7 maj 26 17:19:57,2,4.0 m,43 km/h
7 maj 26 17:19:59,1,4.1 m,29 km/h
7 maj 26 17:21:23,1,4.8 m,49 km/h
7 maj 26 17:23:14,1,4.6 m,50 km/h
7 maj 26 17:25:13,1,4.9 m,40 km/h
7 maj 26 17:28:05,2,5.4 m,60 km/h
7 maj 26 17:28:37,2,4.6 m,47 km/h
7 maj 26 17:28:43,2,4.9 m,53 km/h
7 maj 26 17:29:30,2,3.9 m,63 km/h
7 maj 26 17:31:15,1,4.3 m,67 km/h
7 maj 26 17:31:39,2,4.9 m,47 km/h
7 maj 26 17:31:40,2,4.6 m,46 km/h
7 maj 26 17:31:41,2,4.3 m,47 km/h
7 maj 26 17:32:08,1,3.8 m,68 km/h
7 maj 26 17:33:22,1,4.3 m,42 km/h
7 maj 26 17:33:36,1,4.6 m,26 km/h
7 maj 26 17:37:41,2,4.6 m,75 km/h
7 maj 26 17:41:38,1,6.2 m,33 km/h
7 maj 26 17:42:22,2,5.5 m,25 km/h
7 maj 26 17:43:19,1,6.8 m,42 km/h
7 maj 26 17:43:21,1,4.3 m,41 km/h
7 maj 26 17:43:40,2,4.1 m,45 km/h
7 maj 26 17:44:02,2,4.0 m,69 km/h
7 maj 26 17:48:02,1,4.4 m,60 km/h
7 maj 26 17:49:22,2,5.0 m,48 km/h
7 maj 26 17:50:11,1,3.9 m,56 km/h
7 maj 26 17:55:19,2,4.3 m,69 km/h
7 maj 26 17:56:16,2,5.2 m,53 km/h
7 maj 26 17:56:55,2,4.4 m,55 km/h
7 maj 26 17:58:15,1,7.7 m,66 km/h
7 maj 26 17:58:54,1,4.5 m,53 km/h
7 maj 26 17:59:40,2,2.8 m,53 km/h
7 maj 26 18:02:45,1,11.6 m,54 km/h
7 maj 26 18:03:56,1,5.4 m,56 km/h
7 maj 26 18:04:41,2,6.3 m,77 km/h
7 maj 26 18:06:22,2,5.2 m,48 km/h
7 maj 26 18:06:59,2,4.2 m,49 km/h
7 maj 26 18:07:06,2,4.0 m,48 km/h
7 maj 26 18:07:32,2,4.2 m,64 km/h
7 maj 26 18:10:37,2,2.2 m,40 km/h
7 maj 26 18:10:39,2,6.3 m,41 km/h
7 maj 26 18:11:13,2,3.4 m,36 km/h
7 maj 26 18:11:30,1,4.0 m,47 km/h
7 maj 26 18:15:26,1,4.0 m,46 km/h
7 maj 26 18:18:35,1,4.1 m,47 km/h
7 maj 26 18:24:28,1,3.8 m,54 km/h
7 maj 26 18:28:10,1,4.3 m,46 km/h
7 maj 26 18:29:46,1,6.0 m,51 km/h
7 maj 26 18:31:01,1,4.5 m,75 km/h
7 maj 26 18:31:25,2,4.2 m,49 km/h
7 maj 26 18:31:47,1,4.4 m,41 km/h
7 maj 26 18:32:18,2,3.5 m,71 km/h
7 maj 26 18:36:49,2,4.2 m,53 km/h
7 maj 26 18:37:17,2,4.1 m,52 km/h
7 maj 26 18:37:27,1,4.0 m,48 km/h
7 maj 26 18:45:57,1,4.6 m,59 km/h
7 maj 26 18:46:00,2,4.6 m,59 km/h
7 maj 26 18:46:57,1,4.5 m,74 km/h
7 maj 26 18:47:24,1,7.0 m,46 km/h
7 maj 26 18:50:03,2,4.3 m,48 km/h
7 maj 26 18:53:59,2,3.8 m,69 km/h
7 maj 26 18:56:43,2,4.5 m,65 km/h
7 maj 26 19:00:02,2,3.7 m,54 km/h
7 maj 26 19:00:56,1,4.4 m,48 km/h
7 maj 26 19:01:44,1,4.6 m,51 km/h
7 maj 26 19:05:20,1,4.7 m,61 km/h
7 maj 26 19:05:29,1,5.2 m,42 km/h
7 maj 26 19:10:54,1,4.8 m,22 km/h
7 maj 26 19:12:58,2,3.4 m,45 km/h
7 maj 26 19:14:55,2,5.1 m,54 km/h
7 maj 26 19:17:44,1,4.8 m,46 km/h
7 maj 26 19:18:56,2,4.5 m,54 km/h
7 maj 26 19:25:08,2,4.5 m,47 km/h
7 maj 26 19:26:23,2,3.6 m,71 km/h
7 maj 26 19:26:57,2,4.7 m,59 km/h
7 maj 26 19:26:58,2,4.0 m,59 km/h
7 maj 26 19:27:08,2,5.8 m,75 km/h
7 maj 26 19:33:15,2,4.2 m,81 km/h
7 maj 26 19:34:04,1,4.6 m,41 km/h
7 maj 26 19:34:06,1,5.6 m,44 km/h
7 maj 26 19:34:25,1,4.3 m,37 km/h
7 maj 26 19:36:06,1,5.3 m,57 km/h
7 maj 26 19:36:21,2,4.0 m,47 km/h
7 maj 26 19:37:33,1,5.4 m,57 km/h
7 maj 26 19:38:56,2,3.7 m,45 km/h
7 maj 26 19:46:40,1,5.2 m,47 km/h
7 maj 26 19:54:09,1,4.7 m,43 km/h
7 maj 26 20:00:15,1,4.1 m,39 km/h
7 maj 26 20:02:50,2,5.1 m,41 km/h
7 maj 26 20:02:55,2,4.4 m,50 km/h
7 maj 26 20:10:52,2,4.4 m,56 km/h
7 maj 26 20:11:09,1,3.4 m,47 km/h
7 maj 26 20:12:21,1,6.3 m,64 km/h
7 maj 26 20:12:43,1,4.5 m,51 km/h
7 maj 26 20:14:16,1,6.6 m,58 km/h
7 maj 26 20:16:06,2,6.6 m,46 km/h
7 maj 26 20:16:07,2,4.6 m,47 km/h
7 maj 26 20:16:09,2,4.5 m,48 km/h
7 maj 26 20:16:21,1,4.5 m,42 km/h
7 maj 26 20:22:43,2,4.0 m,37 km/h
7 maj 26 20:28:12,2,5.8 m,45 km/h
7 maj 26 20:28:18,1,4.1 m,50 km/h
7 maj 26 20:31:12,1,5.1 m,36 km/h
7 maj 26 20:32:22,2,3.8 m,34 km/h
7 maj 26 20:32:59,1,4.4 m,52 km/h
7 maj 26 20:34:14,2,4.5 m,33 km/h
7 maj 26 20:41:07,2,4.0 m,47 km/h
7 maj 26 20:42:05,1,6.6 m,44 km/h
7 maj 26 20:42:16,2,3.9 m,72 km/h
7 maj 26 20:42:24,2,5.6 m,64 km/h
7 maj 26 20:43:27,2,3.7 m,52 km/h
7 maj 26 20:47:35,2,4.2 m,60 km/h
7 maj 26 20:48:43,1,4.4 m,46 km/h
7 maj 26 20:51:39,1,4.0 m,65 km/h
7 maj 26 20:52:34,1,4.8 m,47 km/h
7 maj 26 20:55:41,2,6.0 m,45 km/h
7 maj 26 21:01:53,1,4.9 m,34 km/h
7 maj 26 21:04:30,1,4.6 m,54 km/h
7 maj 26 21:04:31,1,4.1 m,54 km/h
7 maj 26 21:09:02,2,3.8 m,42 km/h
7 maj 26 21:09:03,2,5.2 m,45 km/h
7 maj 26 21:10:15,1,4.7 m,49 km/h
7 maj 26 21:15:48,1,4.5 m,54 km/h
7 maj 26 21:18:01,2,4.4 m,56 km/h
7 maj 26 21:18:13,2,4.6 m,58 km/h
7 maj 26 21:21:35,1,4.3 m,50 km/h
7 maj 26 21:23:06,1,3.9 m,52 km/h
7 maj 26 21:24:29,1,4.5 m,34 km/h
7 maj 26 21:32:48,2,4.3 m,39 km/h
7 maj 26 21:36:17,1,4.9 m,57 km/h
7 maj 26 21:39:03,2,4.0 m,59 km/h
7 maj 26 21:54:07,2,4.4 m,38 km/h
7 maj 26 21:59:04,2,3.6 m,54 km/h
7 maj 26 22:06:09,2,4.3 m,48 km/h
7 maj 26 22:06:12,2,4.7 m,50 km/h
7 maj 26 22:15:23,2,4.4 m,37 km/h
7 maj 26 22:15:59,1,4.3 m,52 km/h
7 maj 26 22:16:02,1,3.5 m,53 km/h
7 maj 26 22:16:04,2,4.6 m,48 km/h
7 maj 26 22:16:22,1,4.7 m,40 km/h
7 maj 26 22:25:10,2,4.6 m,46 km/h
7 maj 26 22:25:36,2,4.1 m,45 km/h
7 maj 26 22:39:07,2,2.7 m,61 km/h
7 maj 26 22:46:47,1,4.8 m,101 km/h
7 maj 26 23:26:35,2,4.2 m,58 km/h
8 maj 26 2:27:26,1,4.9 m,47 km/h
8 maj 26 2:34:24,2,5.1 m,54 km/h
8 maj 26 3:22:30,1,4.6 m,98 km/h
8 maj 26 3:39:10,1,4.7 m,60 km/h
8 maj 26 4:16:59,1,4.7 m,62 km/h
8 maj 26 4:18:01,1,4.8 m,53 km/h
8 maj 26 4:21:48,1,4.5 m,55 km/h
8 maj 26 4:27:17,1,7.8 m,62 km/h
8 maj 26 4:27:55,1,7.4 m,70 km/h
8 maj 26 4:38:32,1,5.1 m,36 km/h
8 maj 26 4:56:28,2,5.8 m,89 km/h
8 maj 26 5:02:42,1,7.6 m,73 km/h
8 maj 26 5:04:28,2,4.0 m,45 km/h
8 maj 26 5:04:36,2,4.9 m,55 km/h
8 maj 26 5:09:28,1,4.6 m,52 km/h
8 maj 26 5:10:45,2,3.5 m,59 km/h
8 maj 26 5:12:15,1,4.5 m,58 km/h
8 maj 26 5:15:59,2,13.6 m,65 km/h
8 maj 26 5:18:42,1,4.3 m,52 km/h
8 maj 26 5:18:46,1,4.2 m,54 km/h
8 maj 26 5:21:25,1,4.3 m,33 km/h
8 maj 26 5:26:22,1,5.2 m,59 km/h
8 maj 26 5:26:53,1,4.9 m,42 km/h
8 maj 26 5:27:49,1,4.5 m,49 km/h
8 maj 26 5:33:48,1,4.8 m,30 km/h
8 maj 26 5:36:06,2,8.4 m,44 km/h
8 maj 26 5:38:13,1,4.8 m,59 km/h
8 maj 26 5:38:22,2,3.3 m,66 km/h
8 maj 26 5:41:56,1,4.0 m,63 km/h
8 maj 26 5:43:40,1,4.4 m,56 km/h
8 maj 26 5:47:18,2,3.5 m,69 km/h
8 maj 26 5:48:03,1,6.4 m,53 km/h
8 maj 26 5:49:58,1,4.3 m,56 km/h
8 maj 26 5:52:40,2,3.4 m,69 km/h
8 maj 26 5:55:11,1,5.0 m,43 km/h
8 maj 26 5:57:01,2,4.3 m,62 km/h
8 maj 26 5:57:31,1,4.7 m,41 km/h
8 maj 26 6:03:54,1,4.8 m,62 km/h
8 maj 26 6:08:33,1,4.5 m,54 km/h
8 maj 26 6:08:38,1,4.8 m,29 km/h
8 maj 26 6:12:31,2,4.3 m,55 km/h
8 maj 26 6:12:33,2,4.4 m,56 km/h
8 maj 26 6:13:06,2,4.5 m,72 km/h
8 maj 26 6:13:17,1,4.2 m,45 km/h
8 maj 26 6:15:49,1,4.5 m,49 km/h
8 maj 26 6:15:59,1,5.2 m,38 km/h
8 maj 26 6:19:09,2,5.1 m,60 km/h
8 maj 26 6:19:45,1,4.5 m,53 km/h
8 maj 26 6:23:38,1,3.4 m,47 km/h
8 maj 26 6:25:38,1,5.2 m,40 km/h
8 maj 26 6:26:29,1,5.1 m,41 km/h
8 maj 26 6:27:15,2,4.0 m,32 km/h
8 maj 26 6:30:50,1,4.2 m,53 km/h
8 maj 26 6:30:52,1,4.1 m,57 km/h
8 maj 26 6:31:31,2,7.4 m,45 km/h
8 maj 26 6:32:53,2,4.1 m,44 km/h
8 maj 26 6:33:12,1,4.2 m,68 km/h
8 maj 26 6:34:42,1,5.4 m,59 km/h
8 maj 26 6:39:25,1,5.1 m,77 km/h
8 maj 26 6:42:08,1,4.1 m,57 km/h
8 maj 26 6:44:29,1,4.9 m,49 km/h
8 maj 26 6:45:41,2,3.6 m,59 km/h
8 maj 26 6:55:45,1,5.0 m,64 km/h
8 maj 26 6:59:50,1,4.2 m,58 km/h
8 maj 26 7:02:25,1,13.6 m,36 km/h
8 maj 26 7:02:25,1,1.0 m,33 km/h
8 maj 26 7:02:28,1,5.3 m,36 km/h
8 maj 26 7:02:30,2,4.3 m,46 km/h
8 maj 26 7:02:32,2,3.9 m,48 km/h
8 maj 26 7:04:34,1,5.9 m,48 km/h
